Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.87932777404785,33.6453646841474,30.685219073914716,33.6453646841474,126671715
2,2007-10-09,32.98217010498047,33.27333102819074,29.229417128249786,30.895508777439975,116725709
3,2007-10-10,33.289512634277344,33.968891159536575,32.998351662859996,33.839484576934595,67931378
4,2007-10-11,37.00991439819336,38.82158902053045,32.99835198382934,38.82158902053045,106320954
5,2007-10-12,36.76726531982422,38.14219575573812,35.90995663148673,36.23346967523118,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.25661087036133,45.29185033027703,34.32475309464953,36.880508327313116,204876259
9,2007-10-18,42.7037467956543,48.349053311776125,40.87589828072584,44.968338963370854,146617799
10,2007-10-19,42.558162689208984,44.28895877280891,40.439149103294625,41.73320159377269,110266491
11,2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
12,2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.518310546875,46.24621513135018,43.75516213153062,44.968336438989255,62370025
16,2007-10-29,46.440311431884766,47.55643325031077,46.03592010461835,46.26238100305824,43657697
17,2007-10-30,47.47557067871094,48.75344506253978,45.68006995935886,47.07117921776608,79921711
18,2007-10-31,48.462284088134766,49.529880177783674,47.55644897079162,47.71820555516919,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.235809326171875,48.526974605161705,45.29183945447605,45.663883002534845,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86955261230469,53.02380508184453,49.1901742797415,50.07983523268864,81880281
23,2007-11-07,49.14165496826172,51.503298977271584,48.041711243352026,50.79157274959002,33593141
24,2007-11-08,48.30050277709961,49.61073307256377,47.23291162191484,47.87993762819068,27990521
25,2007-11-12,49.46516036987305,50.33864740840499,45.56682526878262,46.844703642204024,35153735
